Loading configuration... done.
Step #0.00 (27ms ~= 37.04*RT, ~1148.15UPS, vehicles TOT 31 ACT 31)            
Step #1.00 (7ms ~= 142.86*RT, ~4428.57UPS, vehicles TOT 31 ACT 31)            
Step #2.00 (12ms ~= 83.33*RT, ~3333.33UPS, vehicles TOT 40 ACT 40)            
Step #3.00 (6ms ~= 166.67*RT, ~10333.33UPS, vehicles TOT 62 ACT 62)           
Step #4.00 (6ms ~= 166.67*RT, ~10333.33UPS, vehicles TOT 62 ACT 62)           
Step #5.00 (9ms ~= 111.11*RT, ~7888.89UPS, vehicles TOT 71 ACT 71)            
Step #6.00 (6ms ~= 166.67*RT, ~15166.67UPS, vehicles TOT 91 ACT 91)           
Step #7.00 (5ms ~= 200.00*RT, ~18200.00UPS, vehicles TOT 91 ACT 91)           
Step #8.00 (7ms ~= 142.86*RT, ~14000.00UPS, vehicles TOT 98 ACT 98)           
Step #9.00 (5ms ~= 200.00*RT, ~24000.00UPS, vehicles TOT 120 ACT 120)         
Step #10.00 (4ms ~= 250.00*RT, ~30000.00UPS, vehicles TOT 120 ACT 120)        
Step #11.00 (5ms ~= 200.00*RT, ~25600.00UPS, vehicles TOT 128 ACT 128)        
Step #12.00 (5ms ~= 200.00*RT, ~29800.00UPS, vehicles TOT 149 ACT 149)        
Step #13.00 (2ms ~= 500.00*RT, ~74500.00UPS, vehicles TOT 149 ACT 149)        
Step #14.00 (4ms ~= 250.00*RT, ~39500.00UPS, vehicles TOT 158 ACT 158)        
Step #15.00 (4ms ~= 250.00*RT, ~43250.00UPS, vehicles TOT 173 ACT 173)        
Step #16.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #17.00 (3ms ~= 333.33*RT, ~58333.33UPS, vehicles TOT 175 ACT 175)        
Step #18.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #19.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #20.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #21.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #22.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #23.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #24.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #25.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #26.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #27.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #28.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #29.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #30.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #31.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #32.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #33.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #34.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #35.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #36.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #37.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #38.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #39.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #40.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #41.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #42.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #43.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #44.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #45.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #46.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #47.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #48.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #49.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #50.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #51.00 (3ms ~= 333.33*RT, ~58333.33UPS, vehicles TOT 175 ACT 175)        
Step #52.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #53.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #54.00 (1ms ~= 1000.00*RT, ~175000.00UPS, vehicles TOT 175 ACT 175)      
Step #55.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #56.00 (3ms ~= 333.33*RT, ~58333.33UPS, vehicles TOT 175 ACT 175)        
Step #57.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #58.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #59.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #60.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #61.00 (3ms ~= 333.33*RT, ~58333.33UPS, vehicles TOT 175 ACT 175)        
Step #62.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #63.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #64.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #65.00 (2ms ~= 500.00*RT, ~87500.00UPS, vehicles TOT 175 ACT 175)        
Step #66.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #67.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #68.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #69.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #70.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #71.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #72.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #73.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #74.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #75.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #76.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #77.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #78.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #79.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #80.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #81.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #82.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #83.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #84.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #85.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #86.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #87.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #88.00 (1ms ~= 1000.00*RT, ~174000.00UPS, vehicles TOT 175 ACT 174)      
Step #89.00 (2ms ~= 500.00*RT, ~87000.00UPS, vehicles TOT 175 ACT 174)        
Step #90.00 (2ms ~= 500.00*RT, ~86500.00UPS, vehicles TOT 175 ACT 173)        
Step #91.00 (1ms ~= 1000.00*RT, ~173000.00UPS, vehicles TOT 175 ACT 173)      
Step #92.00 (2ms ~= 500.00*RT, ~86500.00UPS, vehicles TOT 175 ACT 173)        
Step #93.00 (1ms ~= 1000.00*RT, ~173000.00UPS, vehicles TOT 175 ACT 173)      
Step #94.00 (2ms ~= 500.00*RT, ~86500.00UPS, vehicles TOT 175 ACT 173)        
Step #95.00 (2ms ~= 500.00*RT, ~86500.00UPS, vehicles TOT 175 ACT 173)        
Step #96.00 (1ms ~= 1000.00*RT, ~173000.00UPS, vehicles TOT 175 ACT 173)      
Step #97.00 (2ms ~= 500.00*RT, ~86500.00UPS, vehicles TOT 175 ACT 173)        
Step #98.00 (1ms ~= 1000.00*RT, ~173000.00UPS, vehicles TOT 175 ACT 173)      
Step #99.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)        
Step #100.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #101.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #102.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #103.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #104.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #105.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #106.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #107.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #108.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #109.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #110.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #111.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #112.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #113.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #114.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #115.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #116.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #117.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #118.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #119.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #120.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #121.00 (1ms ~= 1000.00*RT, ~172000.00UPS, vehicles TOT 175 ACT 172)     
Step #122.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #123.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #124.00 (2ms ~= 500.00*RT, ~86000.00UPS, vehicles TOT 175 ACT 172)       
Step #125.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #126.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #127.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #128.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #129.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #130.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #131.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #132.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #133.00 (1ms ~= 1000.00*RT, ~171000.00UPS, vehicles TOT 175 ACT 171)     
Step #134.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #135.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #136.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #137.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #138.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #139.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #140.00 (1ms ~= 1000.00*RT, ~171000.00UPS, vehicles TOT 175 ACT 171)     
Step #141.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #142.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #143.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #144.00 (1ms ~= 1000.00*RT, ~171000.00UPS, vehicles TOT 175 ACT 171)     
Step #145.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #146.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #147.00 (1ms ~= 1000.00*RT, ~171000.00UPS, vehicles TOT 175 ACT 171)     
Step #148.00 (2ms ~= 500.00*RT, ~85500.00UPS, vehicles TOT 175 ACT 171)       
Step #149.00 (1ms ~= 1000.00*RT, ~171000.00UPS, vehicles TOT 175 ACT 171)     
